github.com/AlDanial/cloc v 2.02  T=2.35 s (137.3 files/s, 16757.6 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                            blank %      comment %           code
---------------------------------------------------------------------------------------------------------------------
.\_src\umba-md-pp\tr\translations.json.h                                           0.16           0.22           1824
.\_src\umba-md-pp\tr\translations.json                                             0.00           0.00           1810
.\_src\umba-md-pp\snippet_options.h                                               17.83          15.35           1563
.\_src\umba-md-pp\arg_parser.h                                                    18.21          12.88           1461
.\_src\umba-md-pp\enums.h                                                         10.10           3.47           1369
.\_src\umba-md-pp\processing.h                                                    17.36          16.06           1277
.\_src\umba-md-pp\tr\lang-detection-tr.json                                        0.00           0.00            960
.\_src\umba-md-pp\app_config.h                                                    22.26          15.27            814
.\_src\umba-md-pp\umba-md-pp.cpp                                                  22.36          13.28            688
.\_src\umba-md-pp\utils.h                                                         20.32          17.85            575
.\doc.drafts\todo.md                                                              18.83           0.00            539
.\_src\umba-md-pp\md_pp_html_csv.h                                                18.62          18.85            524
.\README.md                                                                       19.29           0.00            477
.\_src\umba-md-pp\md_pp_html_puml.h                                               17.76           8.00            464
.\_src\umba-md-pp\umba_md_processing_utils.h                                      20.43          14.06            452
.\_src\umba-md-pp\code-options-database.h                                         24.43           4.19            409
.\_src\umba-md-pp\processing_utils.h                                              21.38          13.57            350
.\doc\_md\sources-stat-by-percent.txt                                              0.29           0.00            348
.\doc\_md\sources-stat.txt                                                         0.29           0.00            348
.\doc.drafts\bred.txt                                                             35.29           0.00            341
.\_src\umba-md-pp\umba-md-pp-view.cpp                                             25.26          16.32            333
.\_src\umba-md-pp\yaml_json_document_helpers.h                                    15.61          23.12            318
.\_src\umba-md-pp\md_pp_html_arg_list.h                                           20.51          13.25            310
.\doc\img.generated\doc.drafts\graphviz\trie_operators.svg                         0.00           7.55            306
.\_src\umba-md-pp\document.h                                                      17.94           9.33            304
.\_src\umba-md-pp\code-processing\cc\simple-processing.h                          22.41          17.34            285
.\_src\simple-drawing\utils.h                                                     21.45           6.20            280
.\_src\simple-drawing\smpd-test-001.cpp                                           21.93          12.74            277
.\doc\img.generated\doc.drafts\graphviz\trie.svg                                   0.00          16.97            274
.\doc.drafts\todo.txt                                                             30.77           0.00            270
.\doc.drafts\boost\b2.txt                                                          9.31           0.00            224
.\_src\umba-md-pp\generation_cache_info.h                                         24.30           6.54            222
.\_src\umba-md-pp\md_pp_html_graph.h                                              20.95          31.98            209
.\_src\umba-md-pp\plantuml_options.h                                              17.16          16.83            200
.\_src\umba-md-pp\gen-lang-detection-tr.cpp                                       26.35           7.77            195
.\_src\umba-md-pp\md\processing_base.h                                            17.57           4.18            187
.\doc.drafts\rtf-smp\ud-inc\unidoc\html\nstyle.css                                17.15          16.42            182
.\_src\umba-md-pp\graph_viz_options.h                                             18.88           8.43            181
.\doc.drafts\boost\cmake.txt                                                       3.21           0.00            181
.\_src\umba-md-pp\viewer_utils.h                                                  22.64          16.55            180
.\doc\umba-md-pp-view-cli-options.md                                              35.14           0.00            179
.\doc\umba-md-pp-view-console-cli-options.md                                      35.14           0.00            179
.\doc\umba-md-pp-cli-options.md                                                   35.06           0.00            176
.\doc.drafts\trie_flat.svg                                                         0.00           7.89            175
.\doc\img.generated\doc.drafts\graphviz\trie_flat.svg                              0.00           7.94            174
.\_src\umba-md-pp\tr\doxygen-language-bak01.json                                  18.66           0.00            170
.\_src\umba-md-pp\tr\doxygen-language.json                                        18.66           0.00            170
.\doc.drafts\proto-test.md                                                        26.96           0.00            168
.\_src\umba-md-pp\image_helpers.h                                                 20.09           2.80            165
.\_src\umba-md-pp\md_pp_html.h                                                    26.29          15.14            147
.\_src\umba-md-pp\rtf_workarounds.h                                               22.11           5.53            144
.\doc.drafts\table-test.md                                                        31.34           0.00            138
.\umba-md-pp-msvc2019.sln                                                          0.73           0.73            135
.\_src\simple-drawing\smpd-tokenizer.h                                            23.25          27.68            133
.\_src\umba-md-pp\processing_section_utils.h                                      19.91          19.91            127
.\_src\umba-md-pp\code-processing\types.h                                         28.94          20.43            119
.\doc\img.generated\doc.drafts\graphviz\test007.svg                                0.00          17.99            114
.\doc.drafts\plantuml\30-bnf-19.puml                                               1.87           0.00            105
.\_src\umba-md-pp\md_pp_tag_utils.h                                               15.71          10.71            103
